2,1350,PTC-Parental Tax Credit,Yes,2,1,2012-10-26 00:00:00.000,5,6
3,1215,IWTC In-work Tax Credit,Yes,3,1,2010-01-16 00:00:00.000,7,8
5,540,IWTC In-work Tax Credit,No,5,1,2011-09-03 00:00:00.000,11,12
6,810,PTC-Parental Tax Credit,Yes,6,2,2013-11-03 00:00:00.000,13,14
7,405,PTC-Parental Tax Credit,No,7,3,2014-08-30 00:00:00.000,15,16
8,1620,FTC-Family Tax Credit,Yes,8,2,2010-08-20 00:00:00.000,17,18
9,270,MFTC-Minimum Family Tax Credit,Yes,9,3,2011-08-16 00:00:00.000,19,20
10,270,IWTC In-work Tax Credit,No,10,3,2012-02-06 00:00:00.000,21,22
11,1485,PTC-Parental Tax Credit,No,11,1,2012-05-16 00:00:00.000,23,24
12,1080,PTC-Parental Tax Credit,No,12,3,2011-06-23 00:00:00.000,25,26
13,1350,MFTC-Minimum Family Tax Credit,No,13,2,2011-08-23 00:00:00.000,27,28
14,405,FTC-Family Tax Credit,No,14,1,2014-06-15 00:00:00.000,29,30
15,1620,PTC-Parental Tax Credit,Yes,15,2,2010-08-17 00:00:00.000,31,32
16,1755,MFTC-Minimum Family Tax Credit,Yes,16,1,2012-09-16 00:00:00.000,33,34
18,1755,MFTC-Minimum Family Tax Credit,Yes,18,1,2010-12-27 00:00:00.000,37,38
19,1485,IWTC In-work Tax Credit,No,19,1,2012-02-12 00:00:00.000,39,40
20,540,FTC-Family Tax Credit,Yes,20,2,2011-06-08 00:00:00.000,41,42
21,405,MFTC-Minimum Family Tax Credit,No,21,3,2014-10-09 00:00:00.000,43,44
23,405,FTC-Family Tax Credit,Yes,23,3,2010-04-11 00:00:00.000,47,48
24,945,IWTC In-work Tax Credit,No,24,3,2011-06-24 00:00:00.000,49,50
25,135,PTC-Parental Tax Credit,Yes,25,2,2012-10-23 00:00:00.000,51,52
28,1350,MFTC-Minimum Family Tax Credit,No,28,1,2013-03-31 00:00:00.000,57,58
29,1620,IWTC In-work Tax Credit,No,29,2,2010-05-30 00:00:00.000,59,60
31,1620,FTC-Family Tax Credit,No,31,1,2011-06-01 00:00:00.000,63,64
32,945,PTC-Parental Tax Credit,Yes,32,2,2014-11-16 00:00:00.000,65,66
33,135,MFTC-Minimum Family Tax Credit,Yes,33,3,2013-02-15 00:00:00.000,67,68
34,810,PTC-Parental Tax Credit,Yes,34,1,2013-12-20 00:00:00.000,69,70
35,1080,PTC-Parental Tax Credit,Yes,35,3,2010-03-07 00:00:00.000,71,72
36,1620,PTC-Parental Tax Credit,No,36,1,2014-01-23 00:00:00.000,73,74
38,135,IWTC In-work Tax Credit,No,38,1,2013-07-29 00:00:00.000,77,78
39,1755,MFTC-Minimum Family Tax Credit,No,39,3,2010-06-01 00:00:00.000,79,80
40,1485,MFTC-Minimum Family Tax Credit,No,40,3,2012-12-09 00:00:00.000,81,82
41,1080,IWTC In-work Tax Credit,No,41,1,2013-05-31 00:00:00.000,83,84
42,1080,PTC-Parental Tax Credit,Yes,42,2,2013-10-21 00:00:00.000,85,86
43,1620,FTC-Family Tax Credit,No,43,1,2012-05-25 00:00:00.000,87,88
