1,2488,2015-12-26 08:26:58.000,2498
2,1866,2016-10-23 03:17:22.000,36746
3,3110,2015-11-23 11:57:09.000,38393
4,3421,2016-11-14 15:37:02.000,50276
5,933,2016-08-31 08:49:08.000,28955
6,1555,2015-12-24 02:31:08.000,34396
7,1866,2016-08-05 16:34:21.000,21057
8,933,2016-10-07 01:12:39.000,51724
9,3110,2015-01-21 07:42:22.000,14964
10,622,2015-07-30 04:34:19.000,5155
11,933,2015-10-17 17:46:56.000,2004
12,1866,2016-05-30 10:47:58.000,31980
13,3421,2015-07-12 15:43:07.000,58888
14,1866,2015-08-09 15:43:25.000,27834
15,2799,2015-03-16 02:36:35.000,59381
16,3110,2016-08-30 20:44:30.000,14919
17,2799,2015-10-18 00:33:13.000,55478
18,2488,2015-04-11 08:03:18.000,7458
19,622,2016-04-12 05:59:01.000,19835
20,1244,2015-08-24 23:54:49.000,16080
21,2799,2015-10-29 12:49:44.000,53725
22,2799,2016-02-10 06:57:26.000,55484
23,622,2015-10-31 19:33:08.000,48248
24,2177,2016-09-13 04:27:48.000,8600
25,622,2016-03-21 01:58:07.000,33879
26,1244,2016-11-18 16:47:56.000,34166
27,2488,2016-01-15 14:10:20.000,12376
28,311,2016-07-17 18:56:33.000,29355
29,2488,2015-12-23 19:17:53.000,57577
30,2177,2016-10-17 23:49:16.000,11034
31,2799,2016-05-19 18:42:18.000,22729
32,2799,2015-03-24 11:49:48.000,12310
33,622,2015-01-14 09:22:44.000,48866
34,2799,2015-07-30 08:04:54.000,51435
35,3421,2015-04-23 01:08:58.000,12038
36,3110,2016-11-20 09:04:04.000,16689
37,622,2016-10-25 21:59:14.000,21803
38,1555,2015-06-03 07:50:44.000,23290
39,311,2015-01-11 22:31:47.000,9597
40,933,2016-11-05 12:20:48.000,51717
41,622,2015-10-06 12:08:26.000,54401
42,311,2016-08-25 15:34:05.000,13218
43,2177,2015-04-11 15:23:00.000,37118
44,2799,2016-10-18 18:03:51.000,13259
45,622,2016-05-14 09:30:40.000,54551
46,311,2016-07-21 04:26:33.000,32475
47,3421,2015-08-27 12:48:46.000,23273
48,311,2015-12-03 01:25:38.000,10101
49,2177,2015-06-02 01:07:23.000,36353
50,622,2016-01-14 17:57:57.000,51216
51,1244,2016-05-12 14:08:12.000,16897
52,1244,2015-05-04 15:18:26.000,23285
53,1244,2016-09-05 19:55:38.000,27381
54,2177,2016-10-22 05:36:38.000,31252
55,3421,2016-01-30 02:59:39.000,58917
56,2488,2015-02-03 22:03:01.000,39574
57,3421,2015-07-04 08:24:29.000,34959
58,1866,2015-06-14 14:20:59.000,12025
59,622,2015-07-11 21:55:20.000,9545
60,2488,2015-12-06 14:12:54.000,4026
61,2177,2015-09-09 03:21:45.000,4038
62,1244,2015-12-15 05:43:54.000,36591
63,311,2016-08-03 03:20:18.000,42039
64,1555,2016-02-05 16:52:49.000,18838
65,3110,2016-06-24 08:51:57.000,19890
66,3110,2015-09-28 05:10:32.000,48515
67,622,2016-08-02 02:59:56.000,51492
68,1555,2016-10-30 20:28:19.000,22656
69,3421,2016-11-24 22:03:52.000,35939
70,3421,2015-04-25 16:23:51.000,19141
71,1244,2016-05-06 22:40:11.000,48848
72,3110,2016-11-03 04:50:04.000,52189
73,2177,2015-09-17 00:12:23.000,9401
74,2488,2015-08-02 20:38:46.000,29011
75,1555,2015-11-25 12:40:54.000,5221
76,1244,2015-04-08 13:50:39.000,36471
77,1555,2016-05-24 22:23:46.000,7809
78,311,2015-09-30 01:14:44.000,1734
79,311,2015-02-10 15:03:43.000,57137
80,2799,2015-01-05 19:53:51.000,26556
81,2799,2016-11-25 16:45:51.000,2765
82,2488,2016-11-19 08:22:37.000,47868
83,933,2015-08-31 13:24:16.000,29857
84,3110,2016-05-09 20:36:04.000,51491
85,311,2016-08-24 05:30:19.000,30887
86,1555,2015-11-25 09:12:03.000,46520
87,3110,2015-03-19 22:31:07.000,20933
88,3421,2016-01-15 01:20:39.000,33660
89,2177,2015-03-14 09:12:46.000,12626
90,1244,2016-06-29 11:40:03.000,33037
91,3110,2016-03-11 04:52:37.000,50329
92,3110,2016-02-01 05:38:51.000,14214
93,1555,2015-02-10 02:52:05.000,57034
94,622,2016-10-29 06:34:59.000,4008
95,2488,2015-11-25 22:40:30.000,7461
96,1555,2016-09-10 19:04:10.000,43299
97,2177,2015-11-27 07:04:46.000,28446
98,311,2015-08-21 11:39:35.000,39877
99,3110,2015-05-25 12:19:35.000,18006
100,3421,2016-09-03 20:34:34.000,25172
101,2488,2015-05-19 01:35:08.000,26314
102,622,2015-10-22 04:28:01.000,14121
103,2488,2016-02-06 12:37:56.000,46837
104,933,2016-05-12 17:34:14.000,55686
105,1244,2016-01-03 05:16:38.000,8457
106,3110,2015-09-13 16:27:24.000,59132
107,1555,2016-03-14 10:26:44.000,24311
108,1866,2016-05-12 01:21:18.000,34994
109,3110,2016-02-09 05:13:26.000,30577
110,2799,2016-02-29 16:09:22.000,16689
111,1866,2016-11-09 04:14:35.000,43996
112,622,2015-01-24 13:11:15.000,22674
113,1866,2015-04-21 10:19:58.000,42276
114,622,2016-05-10 13:02:06.000,36037
